date, pm25, pm10, o3, no2, so2, co
2019/7/9, 26, 10, 24, 11, 1, 3
2019/7/10, 26, 16, 25, 16, 4, 3
2019/7/11, 38, 13, 19, 22, 2, 4
2019/7/12, 27, 27, 30, 30, 6, 7
2019/7/13, 61, 14, 37, 12, 3, 3
2019/7/14, 29, 8, 23, 5, , 2
2019/7/15, 18, 7, 13, 13, , 2
2019/7/16, 13, 18, 28, 25, 6, 4
2019/7/17, 43, 24, 16, 29, 7, 4
2019/7/18, 48, 20, 13, 22, 8, 4
2019/7/19, 35, 28, 33, 21, 10, 4
2019/7/20, 52, 27, 22, 12, 3, 3
2019/7/21, 49, 27, 8, 16, 1, 3
2019/7/22, 52, 16, 14, 16, 2, 3
2019/7/23, 31, 16, 27, 18, 4, 3
2019/7/24, 30, 36, 27, 24, 7, 4
2019/7/25, 61, 16, 11, 13, 7, 4
2019/7/26, 32, 29, 8, 10, 7, 3
2019/7/27, 39, 53, 14, 12, 7, 4
2019/7/28, 74, 42, 15, 18, 7, 4
2019/7/29, 64, 39, 13, 20, 9, 4
2019/7/30, 60, 44, 19, 21, 7, 4
2019/7/31, 63, 50, 67, 24, 7, 4
2019/8/1, 71, 47, 42, 22, 10, 3
2019/8/2, 68, 30, 21, 19, 15, 3
2019/8/3, 54, 19, 23, 11, 8, 2
2019/8/4, 39, 18, 21, 12, 6, 3
2019/8/5, 30, 23, 11, 11, 5, 5
2019/8/6, 36, 21, 14, 14, 6, 4
2019/8/7, 33, 28, 18, 18, 9, 4
2019/8/8, 46, 22, 15, 17, 9, 4
2019/8/9, 42, 22, 22, 13, 7, 3
2019/8/10, 40, 25, 30, 11, 7, 2
2019/8/11, 43, 24, 17, 8, 4, 2
2019/8/12, 42, 25, 11, 9, 4, 2
2019/8/13, 32, 40, 14, 9, 4, 3
2019/8/14, 49, 45, 14, 6, 2, 3
2019/8/15, 56, 52, 32, 7, 1, 3
2019/8/16, 72, 46, 41, 17, 11, 5
2019/8/17, 70, 43, 42, 13, 6, 4
2019/8/18, 70, 46, 27, 11, 1, 3
2019/8/19, 69, 27, 21, 18, 5, 4
2019/8/20, 44, 13, 25, 15, 2, 3
2019/8/21, 28, 22, 36, 16, 3, 4
2019/8/22, 42, 23, 16, 18, 5, 4
2019/8/23, 39, 29, 37, 24, 6, 5
2019/8/24, 55, 26, 52, 10, 5, 4
2019/8/25, 59, 20, 34, 15, 3, 4
2019/8/26, 49, 23, 32, 21, 5, 5
2019/8/27, 51, 17, 12, 11, 3, 3
2019/8/28, 28, 26, 19, 13, 2, 3
